"user_id","game_name","payment_month","total_revenue","age","language","previous_paid_month","next_paid_month","next_calendar_month","prev_calendar_month","previous_revenue","future_revenue","new_mrr","new_paid_users","paid_users","expansion_mrr","contraction_mrr","churned_revenue","churned_users","churn_month"
FLqAK4qKiMkvlLBgGwbBnQ==,game 3,2022-08-01 00:00:00.000 +0300,53.28,31,ru,2022-05-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,24.36,44.70,0,0,1,0,0,0,0,
FLqAK4qKiMkvlLBgGwbBnQ==,game 3,2022-09-01 00:00:00.000 +0300,44.70,31,ru,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,53.28,16.05,0,0,1,0,8.58,0,0,
FLqAK4qKiMkvlLBgGwbBnQ==,game 3,2022-10-01 00:00:00.000 +0300,16.05,31,ru,2022-09-01 00:00:00.000 +0300,,2022-11-01,2022-09-01,44.70,,0,0,1,0,28.65,16.05,1,2022-11-01
FnaqKQlPHm2pH1+S+K+Gfg==,game 3,2022-10-01 00:00:00.000 +0300,15.48,19,uk,,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,,37.20,15.48,1,1,0,0,0,0,
FnaqKQlPHm2pH1+S+K+Gfg==,game 3,2022-11-01 00:00:00.000 +0200,37.20,19,uk,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,15.48,23.85,0,0,1,21.72,0,0,0,
FnaqKQlPHm2pH1+S+K+Gfg==,game 3,2022-12-01 00:00:00.000 +0200,23.85,19,uk,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,37.20,,0,0,1,0,13.35,23.85,1,2023-01-01
fNc4x9raJu2OBcbtEloM7A==,game 3,2022-08-01 00:00:00.000 +0300,15.84,35,ru,,,2022-09-01,2022-07-01,,,15.84,1,1,0,0,15.84,1,2022-09-01
fq8oNQ55zdVqL3GK0IjuYg==,game 3,2022-10-01 00:00:00.000 +0300,31.74,25,uk,,,2022-11-01,2022-09-01,,,31.74,1,1,0,0,31.74,1,2022-11-01
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-04-01 00:00:00.000 +0300,26.28,21,uk,,2022-05-01 00:00:00.000 +0300,2022-05-01,2022-03-01,,20.73,26.28,1,1,0,0,0,0,
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-05-01 00:00:00.000 +0300,20.73,21,uk,2022-04-01 00:00:00.000 +0300,2022-07-01 00:00:00.000 +0300,2022-06-01,2022-04-01,26.28,36.66,0,0,1,0,5.55,20.73,1,2022-06-01
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-07-01 00:00:00.000 +0300,36.66,21,uk,2022-05-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-08-01,2022-06-01,20.73,29.34,0,0,1,0,0,36.66,1,2022-08-01
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-09-01 00:00:00.000 +0300,29.34,21,uk,2022-07-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,36.66,33.69,0,0,1,0,0,0,0,
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-10-01 00:00:00.000 +0300,33.69,21,uk,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,29.34,25.47,0,0,1,4.35,0,0,0,
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-11-01 00:00:00.000 +0200,25.47,21,uk,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,33.69,26.16,0,0,1,0,8.22,0,0,
Fqu+/F0rn1G4YP3f3yHA1Q==,game 3,2022-12-01 00:00:00.000 +0200,26.16,21,uk,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,25.47,,0,0,1,0.69,0,26.16,1,2023-01-01
